t (s),AceX,AceY,AceZ,GirX,GirY,GirZ,Altura
5.620601177215576,-3520.00,12796.00,10220.00,-1034.00,-46.00,-20.00,-1.15
5.678145170211792,-3552.00,12816.00,10272.00,-1013.00,13.00,-55.00,-1.23
5.735175848007202,-3700.00,12824.00,10240.00,-848.00,68.00,-15.00,-1.44
5.788249492645264,-3792.00,12800.00,10112.00,-737.00,18.00,48.00,-1.21
5.845801830291748,-3912.00,12800.00,10232.00,-625.00,37.00,178.00,-1.21
5.9038355350494385,-3748.00,12860.00,9952.00,-647.00,38.00,239.00,-1.36
5.960390567779541,-3592.00,12972.00,9760.00,-640.00,-3.00,260.00,-1.31
6.013957977294922,-3408.00,12948.00,9716.00,-672.00,27.00,202.00,-1.24
6.0715250968933105,-3380.00,12720.00,9888.00,-777.00,1.00,96.00,-0.98
6.1247241497039795,-3368.00,12992.00,9556.00,-913.00,37.00,-1.00,-1.11
6.181780815124512,-3452.00,12888.00,9932.00,-871.00,21.00,-6.00,-1.24
6.239391565322876,-3680.00,12724.00,10048.00,-1109.00,25.00,-69.00,-1.07
6.2964348793029785,-3736.00,12888.00,9932.00,-1055.00,-15.00,-66.00,-1.10
6.349647283554077,-3668.00,12844.00,9936.00,-921.00,36.00,27.00,-1.32
6.407221555709839,-3692.00,12632.00,10496.00,-868.00,-5.00,119.00,-0.90
6.468325138092041,-3736.00,12844.00,10356.00,-735.00,-17.00,202.00,-1.24
6.522378921508789,-3780.00,12692.00,10404.00,-641.00,8.00,218.00,-1.32
6.578942060470581,-3420.00,12904.00,10024.00,-585.00,36.00,217.00,-1.55
6.63603401184082,-3292.00,12888.00,9800.00,-641.00,50.00,148.00,-1.17
6.693664312362671,-3260.00,12872.00,9792.00,-657.00,74.00,103.00,-1.17
6.746698617935181,-3256.00,12800.00,9688.00,-775.00,45.00,70.00,-1.32
6.804244756698608,-3440.00,12688.00,9636.00,-1027.00,86.00,-77.00,-1.04
6.861801385879517,-3428.00,12736.00,9840.00,-1047.00,-10.00,-61.00,-1.08
6.919383525848389,-3488.00,12996.00,9644.00,-1120.00,50.00,-142.00,-1.35
6.976960182189941,-3336.00,12540.00,10060.00,-952.00,-7.00,105.00,-1.15
7.037509918212891,-4456.00,13516.00,10968.00,-1262.00,-18.00,-19.00,-1.46
7.095056533813477,-3400.00,13080.00,10392.00,-656.00,53.00,187.00,-1.46
7.1525962352752686,-3576.00,12328.00,10444.00,-724.00,153.00,254.00,-1.51
7.209652900695801,-3684.00,12856.00,10604.00,-366.00,97.00,230.00,-0.95
7.267370939254761,-3628.00,12892.00,9900.00,-667.00,68.00,168.00,-1.16
7.320447206497192,-3608.00,13016.00,9028.00,-562.00,39.00,326.00,-1.35
