T (ms),AceX,AceY,AceZ,GirX,GirY,GirZ,Altura
363.0,17548.00,-320.00,1492.00,-492.00,-50.00,96.00,-1.08
364.0,17428.00,-360.00,1240.00,-745.00,-31.00,120.00,-1.08
365.0,17532.00,-312.00,1540.00,-830.00,-44.00,152.00,-1.10
366.0,17480.00,-244.00,1408.00,-643.00,-69.00,42.00,-0.94
367.0,17488.00,-332.00,1376.00,-819.00,54.00,151.00,-0.99
368.0,17528.00,-408.00,1448.00,-810.00,-49.00,97.00,-1.28
369.0,17468.00,-328.00,1512.00,-822.00,-17.00,115.00,-0.97
370.0,17492.00,-300.00,1380.00,-803.00,-42.00,70.00,-1.16
371.0,17524.00,-408.00,1444.00,-814.00,-23.00,103.00,-1.16
372.0,17588.00,-176.00,1600.00,-774.00,-86.00,45.00,-0.90
373.0,17464.00,-388.00,1328.00,-736.00,-35.00,105.00,-0.90
374.0,17588.00,-300.00,1424.00,-732.00,-128.00,41.00,-1.15
375.0,17520.00,-292.00,1412.00,-851.00,83.00,157.00,-0.99
376.0,17484.00,-208.00,1452.00,-780.00,-107.00,-2.00,-1.38
377.0,17480.00,-316.00,1404.00,-830.00,2.00,140.00,-1.34
378.0,17472.00,-344.00,1448.00,-866.00,-23.00,97.00,-1.34
379.0,17560.00,-308.00,1288.00,-842.00,-29.00,140.00,-0.72
380.0,17484.00,-144.00,1468.00,-683.00,-87.00,82.00,-0.91
381.0,17456.00,-200.00,1432.00,-439.00,64.00,136.00,-1.04
382.0,17512.00,-400.00,1348.00,-704.00,2.00,109.00,-0.91
383.0,17568.00,-228.00,1404.00,-873.00,54.00,99.00,-0.87
384.0,17568.00,-268.00,1556.00,-779.00,-6.00,130.00,-1.07
385.0,17620.00,-256.00,1380.00,-869.00,-56.00,79.00,-1.07
386.0,17532.00,-324.00,1352.00,-856.00,-8.00,136.00,-0.84
387.0,17492.00,-280.00,1308.00,-893.00,26.00,93.00,-0.77
388.0,17496.00,-152.00,1428.00,-919.00,-8.00,139.00,-0.89
389.0,17600.00,-316.00,1436.00,-888.00,13.00,121.00,-0.98
390.0,17468.00,-396.00,1372.00,-848.00,-21.00,104.00,-1.04
391.0,17512.00,-336.00,1404.00,-876.00,-2.00,114.00,-1.04
392.0,17720.00,-340.00,1364.00,-872.00,17.00,126.00,-0.84
393.0,17544.00,-224.00,1400.00,-863.00,-33.00,127.00,-0.84
394.0,17500.00,-392.00,1372.00,-850.00,-39.00,86.00,-0.93
395.0,17552.00,-332.00,1432.00,-884.00,43.00,102.00,-0.72
396.0,17472.00,-264.00,1312.00,-894.00,0.00,131.00,-0.95
397.0,17500.00,-208.00,1356.00,-893.00,2.00,125.00,-0.86
398.0,17516.00,-276.00,1196.00,-860.00,2.00,93.00,-0.80
399.0,17548.00,-272.00,1552.00,-863.00,-23.00,100.00,-0.84
400.0,17604.00,-264.00,1388.00,-867.00,-4.00,103.00,-0.94
401.0,17472.00,-292.00,1392.00,-859.00,-19.00,127.00,-0.81
402.0,17524.00,-260.00,1312.00,-889.00,-6.00,136.00,-0.83
403.0,17580.00,-312.00,1252.00,-864.00,5.00,115.00,-0.80
404.0,17508.00,-376.00,1452.00,-889.00,13.00,122.00,-0.80
405.0,17588.00,-328.00,1508.00,-882.00,4.00,116.00,-1.10
406.0,17616.00,-108.00,1304.00,-853.00,-8.00,119.00,-0.79
407.0,17528.00,-264.00,1388.00,-869.00,5.00,104.00,-0.88
408.0,17560.00,-332.00,1504.00,-845.00,-10.00,91.00,-0.98
409.0,17568.00,-336.00,1220.00,-889.00,14.00,124.00,-0.82
410.0,17564.00,-204.00,1444.00,-887.00,-16.00,92.00,-0.82
411.0,17496.00,-192.00,1420.00,-830.00,-3.00,116.00,-1.08
412.0,17596.00,-432.00,1236.00,-820.00,-35.00,123.00,-1.15
413.0,17580.00,-568.00,1392.00,-875.00,3.00,107.00,-0.99
414.0,17520.00,-152.00,1516.00,-911.00,21.00,118.00,-0.71
415.0,17380.00,-132.00,1480.00,-831.00,-24.00,99.00,-0.68
416.0,17564.00,-356.00,1444.00,-863.00,-16.00,94.00,-0.68
417.0,17436.00,-404.00,1560.00,-920.00,46.00,126.00,-0.58
418.0,17556.00,-268.00,1420.00,-861.00,-23.00,94.00,-0.87
419.0,17496.00,-224.00,1364.00,-935.00,35.00,152.00,-1.20
420.0,17488.00,-272.00,1248.00,-816.00,-39.00,99.00,-1.00
421.0,17476.00,-424.00,1440.00,-875.00,-20.00,71.00,-0.82
422.0,17420.00,-392.00,1364.00,-903.00,2.00,117.00,-0.91
423.0,17456.00,-332.00,1392.00,-941.00,29.00,120.00,-0.91
424.0,17540.00,-272.00,1408.00,-855.00,-11.00,130.00,-0.89
425.0,17540.00,-388.00,1332.00,-905.00,-17.00,105.00,-1.06
426.0,15020.00,-520.00,1300.00,-937.00,299.00,534.00,-0.90
427.0,17888.00,-564.00,4276.00,-975.00,-634.00,-11.00,-1.15
428.0,17440.00,-4.00,2088.00,-867.00,58.00,215.00,-1.14
429.0,17408.00,-488.00,1084.00,-801.00,-19.00,126.00,-1.14
430.0,17504.00,-264.00,1420.00,-947.00,72.00,84.00,-0.94
431.0,17648.00,-196.00,1584.00,-908.00,9.00,56.00,-0.63
432.0,17564.00,-196.00,1476.00,-922.00,47.00,158.00,-0.84
433.0,17360.00,-284.00,1372.00,-826.00,-48.00,110.00,-0.77
434.0,17568.00,-512.00,1280.00,-900.00,-4.00,70.00,-0.85
435.0,17560.00,-300.00,1352.00,-887.00,-4.00,116.00,-0.97
436.0,17520.00,-296.00,1412.00,-876.00,-10.00,111.00,-0.97
437.0,17468.00,-364.00,1344.00,-837.00,-29.00,110.00,-1.13
438.0,17512.00,-472.00,1244.00,-928.00,32.00,127.00,-1.07
439.0,17424.00,-380.00,1412.00,-915.00,47.00,99.00,-0.99
440.0,17380.00,-272.00,1396.00,-902.00,-28.00,95.00,-1.35
441.0,17736.00,-404.00,1284.00,-839.00,3.00,167.00,-0.89
442.0,17484.00,-192.00,1332.00,-906.00,-2.00,58.00,-0.89
443.0,17524.00,-536.00,1388.00,-886.00,8.00,124.00,-0.95
444.0,17992.00,-52.00,1156.00,-971.00,-145.00,206.00,-1.04
445.0,18208.00,-604.00,1932.00,-935.00,-4.00,117.00,-0.99
446.0,18092.00,232.00,604.00,978.00,94.00,246.00,-1.09
447.0,17436.00,-712.00,1448.00,-747.00,-77.00,65.00,-1.12
448.0,18268.00,-860.00,2772.00,1667.00,-529.00,524.00,-1.12
449.0,16624.00,-388.00,-536.00,-468.00,415.00,519.00,-0.95
450.0,18364.00,-4524.00,2716.00,-898.00,2814.00,-5144.00,-0.72
451.0,22272.00,1324.00,724.00,-9364.00,2599.00,2629.00,-0.67
452.0,21092.00,768.00,4668.00,-6443.00,4817.00,5570.00,-0.82
453.0,18232.00,-548.00,5596.00,-2499.00,11299.00,4940.00,-1.08
454.0,16508.00,-420.00,6488.00,-2191.00,4275.00,3231.00,-0.90
455.0,12992.00,-692.00,5716.00,591.00,10729.00,3945.00,-0.90
456.0,11560.00,-2800.00,5664.00,678.00,26777.00,-2025.00,-1.14
457.0,12740.00,-1924.00,11636.00,-352.00,27275.00,-5759.00,-1.01
458.0,10300.00,-1452.00,13740.00,-3224.00,32767.00,-2024.00,-0.85
459.0,9336.00,-1752.00,14520.00,-2602.00,29330.00,2008.00,-1.02
460.0,5040.00,-3324.00,19692.00,-1394.00,7301.00,4704.00,-0.97
461.0,5488.00,-2964.00,17832.00,-3380.00,-10154.00,527.00,-1.06
462.0,8288.00,-3220.00,16792.00,-5172.00,-17255.00,769.00,-1.04
463.0,8740.00,-3728.00,15592.00,-5334.00,-21928.00,336.00,-1.04
464.0,12460.00,-3304.00,13656.00,-6324.00,-31732.00,-1897.00,-1.40
465.0,13928.00,-3880.00,10484.00,-3765.00,-17650.00,464.00,-1.19
466.0,15296.00,-4200.00,7252.00,-5043.00,-31669.00,-375.00,-0.79
467.0,16216.00,-4584.00,968.00,-3985.00,-23654.00,974.00,-0.73
468.0,16364.00,-4676.00,764.00,-4016.00,-24097.00,-81.00,-0.77
469.0,16288.00,-4808.00,-3052.00,-2372.00,-7268.00,226.00,-0.73
470.0,15796.00,-4676.00,-4028.00,-2622.00,-8529.00,-236.00,-0.81
471.0,17392.00,-3712.00,-4764.00,328.00,-640.00,-1642.00,-0.81
472.0,15980.00,-4300.00,-4312.00,1385.00,7919.00,-442.00,-0.96
473.0,16396.00,-3848.00,-2092.00,2231.00,16876.00,-889.00,-0.97
474.0,16428.00,-3940.00,-232.00,2510.00,21781.00,-909.00,-0.87
475.0,16720.00,-3628.00,4176.00,2680.00,32767.00,-1120.00,-0.75
476.0,14940.00,-3376.00,9608.00,3576.00,30694.00,-395.00,-0.61
477.0,8344.00,-3420.00,15648.00,1768.00,19486.00,940.00,-0.69
478.0,7764.00,-2772.00,14332.00,1638.00,19060.00,-219.00,-0.69
479.0,8048.00,-2940.00,17640.00,3217.00,15249.00,-907.00,-0.95
480.0,5832.00,-3104.00,18180.00,-660.00,3754.00,364.00,-0.75
481.0,6612.00,-2256.00,17824.00,-1487.00,-1364.00,397.00,-0.65
482.0,6428.00,-3088.00,16992.00,-2388.00,-2373.00,318.00,-0.62
483.0,6880.00,-2808.00,16708.00,-3025.00,-7650.00,-94.00,-0.89
484.0,8280.00,-3040.00,15692.00,-2913.00,-11287.00,-639.00,-0.57
485.0,10080.00,-2836.00,15120.00,-3866.00,-18410.00,-131.00,-0.57
486.0,11868.00,-2756.00,14032.00,-5086.00,-18854.00,-1429.00,-0.66
487.0,13112.00,-3608.00,12928.00,-4934.00,-15023.00,-2091.00,-0.64
488.0,15148.00,-3596.00,8620.00,-4709.00,-15500.00,-1267.00,-0.73
489.0,15776.00,-3896.00,4104.00,-2794.00,-18304.00,-1105.00,-0.96
490.0,16140.00,-3784.00,3228.00,-2555.00,-18888.00,-1613.00,-0.96
491.0,16820.00,-3280.00,16.00,-1798.00,-7112.00,-1562.00,-0.67
492.0,17656.00,-3268.00,-440.00,-1292.00,-5721.00,-1439.00,-0.67
493.0,17976.00,-3408.00,-900.00,-1341.00,-7920.00,-400.00,-0.90
494.0,17292.00,-3156.00,-1508.00,-1616.00,-8212.00,503.00,-0.90
495.0,16932.00,-3176.00,-2616.00,-734.00,-7909.00,-250.00,-1.02
496.0,16336.00,-3420.00,-4724.00,-1653.00,-7318.00,3.00,-1.03
497.0,16064.00,-3000.00,-4884.00,-1895.00,-8802.00,286.00,-1.03
498.0,15904.00,-3216.00,-5828.00,-2391.00,-8808.00,-561.00,-1.22
499.0,16316.00,-3428.00,-5252.00,326.00,6132.00,1347.00,-0.80
500.0,16424.00,-3440.00,-4448.00,1947.00,10118.00,-1102.00,-0.82
501.0,17308.00,-3124.00,-3792.00,628.00,17532.00,241.00,-0.76
502.0,17252.00,-3100.00,1392.00,2453.00,18055.00,507.00,-0.87
503.0,17212.00,-3068.00,2516.00,2768.00,16769.00,605.00,-0.97
504.0,16328.00,-3360.00,4636.00,945.00,6077.00,393.00,-0.97
505.0,15976.00,-3396.00,5148.00,-1894.00,-2450.00,824.00,-0.63
506.0,17164.00,-3660.00,5424.00,-1790.00,-5412.00,-1547.00,-0.98
507.0,16232.00,-3072.00,4728.00,-2941.00,-527.00,-363.00,-0.97
508.0,16300.00,-3252.00,5828.00,-1811.00,8214.00,-627.00,-0.70
509.0,17280.00,-3044.00,3816.00,3836.00,3787.00,-1348.00,-0.90
510.0,17256.00,-3184.00,5116.00,466.00,964.00,-606.00,-0.75
511.0,17140.00,-2600.00,4032.00,3122.00,5097.00,574.00,-0.87
512.0,16484.00,-3144.00,5552.00,-2113.00,659.00,-84.00,-0.85
513.0,17204.00,-2632.00,4952.00,722.00,1267.00,13.00,-1.05
514.0,16972.00,-2452.00,5200.00,-1392.00,4188.00,-168.00,-0.79
515.0,16728.00,-2516.00,6440.00,-99.00,12725.00,-117.00,-0.79
516.0,16100.00,-1796.00,7880.00,-446.00,25934.00,-782.00,-1.05
517.0,13424.00,-2596.00,11728.00,1860.00,25700.00,2427.00,-0.90
518.0,10756.00,-1864.00,14640.00,1438.00,21396.00,1406.00,-0.85
519.0,7212.00,-1772.00,15652.00,1010.00,15463.00,145.00,-1.09
520.0,6488.00,-1988.00,16764.00,-664.00,9571.00,114.00,-0.94
521.0,5540.00,-1988.00,16924.00,-1762.00,10638.00,-476.00,-0.96
522.0,6348.00,-2136.00,17468.00,-1860.00,2263.00,1591.00,-1.01
523.0,4040.00,-2684.00,18116.00,-3317.00,-1075.00,2731.00,-0.97
524.0,4716.00,-3060.00,17544.00,-2071.00,-3981.00,261.00,-0.88
525.0,5792.00,-2904.00,17508.00,-2455.00,-15388.00,-768.00,-1.01
526.0,7608.00,-3320.00,15748.00,-2135.00,-15955.00,-289.00,-1.01
527.0,12172.00,-3272.00,12580.00,-3112.00,-20789.00,364.00,-1.12
528.0,12748.00,-3140.00,12584.00,-3516.00,-21991.00,-233.00,-0.57
529.0,16128.00,-2844.00,10776.00,-4309.00,-21340.00,-31.00,-0.57
530.0,16552.00,-3464.00,2220.00,-4303.00,-24917.00,-1813.00,-0.83
531.0,16764.00,-3152.00,1888.00,-3207.00,-17327.00,-802.00,-0.83
532.0,16964.00,-3228.00,-892.00,-1626.00,-7819.00,-1367.00,-0.78
533.0,17760.00,-2964.00,-676.00,-525.00,-4780.00,-1242.00,-0.78
534.0,17788.00,-3448.00,224.00,451.00,1808.00,-1392.00,-0.90
535.0,17748.00,-3024.00,264.00,1034.00,6519.00,-1080.00,-0.90
536.0,16972.00,-3812.00,1016.00,849.00,16676.00,-1009.00,-1.07
537.0,15324.00,-3120.00,7600.00,1597.00,26460.00,627.00,-0.68
538.0,15040.00,-2904.00,9252.00,1831.00,25157.00,598.00,-0.68
539.0,13248.00,-2472.00,12656.00,1015.00,24412.00,1566.00,-0.96
540.0,9740.00,-3456.00,14376.00,675.00,19851.00,855.00,-0.66
541.0,10036.00,-2556.00,15832.00,1022.00,13035.00,1792.00,-1.01
542.0,8884.00,-3068.00,16776.00,-1800.00,-4537.00,-84.00,-0.95
543.0,10488.00,-2960.00,16024.00,-3274.00,-15151.00,-244.00,-0.95
544.0,11332.00,-3148.00,13868.00,-4048.00,-13801.00,315.00,-0.99
545.0,14600.00,-3488.00,9744.00,-4092.00,-26158.00,-2010.00,-1.05
546.0,15432.00,-2576.00,8272.00,-3497.00,-22786.00,-1770.00,-1.05
547.0,15972.00,-3628.00,5292.00,-782.00,-4633.00,1404.00,-0.89
548.0,16092.00,-3772.00,5616.00,-873.00,-3560.00,1224.00,-0.89
549.0,16384.00,-4400.00,6144.00,-161.00,6730.00,-747.00,-0.88
550.0,16468.00,-3888.00,6276.00,-304.00,6256.00,-900.00,-0.88
551.0,16120.00,-3600.00,7504.00,343.00,12729.00,-1272.00,-0.62
552.0,15020.00,-3544.00,8364.00,1557.00,20814.00,-659.00,-0.76
553.0,12868.00,-2896.00,12100.00,4262.00,28750.00,1003.00,-1.15
554.0,9916.00,-2804.00,14848.00,1039.00,19658.00,1668.00,-0.80
555.0,8884.00,-3084.00,16916.00,-331.00,7818.00,745.00,-0.86
556.0,8208.00,-3008.00,16108.00,-1069.00,-7054.00,1898.00,-0.70
557.0,8948.00,-2928.00,15876.00,-2240.00,-11226.00,499.00,-1.04
558.0,11400.00,-3344.00,14288.00,-3434.00,-20590.00,-905.00,-1.04
559.0,13628.00,-3260.00,11988.00,-5055.00,-22098.00,-1176.00,-0.77
560.0,15816.00,-3680.00,7476.00,-4065.00,-14778.00,-2163.00,-0.87
561.0,16760.00,-3672.00,6596.00,-4057.00,-14928.00,-2001.00,-0.87
562.0,16504.00,-3416.00,2536.00,-2092.00,-8555.00,137.00,-0.79
563.0,16104.00,-3672.00,2772.00,-2185.00,-5052.00,415.00,-0.79
564.0,16708.00,-2520.00,2752.00,2427.00,14335.00,-1318.00,-1.23
565.0,17108.00,-2312.00,2240.00,3932.00,21454.00,-775.00,-1.23
566.0,15368.00,-3740.00,5696.00,1177.00,27045.00,-340.00,-1.02
567.0,16564.00,-2900.00,11820.00,4293.00,32767.00,2818.00,-1.00
568.0,11332.00,-3704.00,13168.00,841.00,21176.00,3283.00,-1.15
569.0,10108.00,-3016.00,15224.00,-247.00,6867.00,1666.00,-1.25
570.0,9072.00,-2516.00,15348.00,-412.00,-3818.00,-46.00,-1.12
571.0,9708.00,-3000.00,15192.00,-813.00,-2962.00,380.00,-1.22
572.0,10296.00,-3456.00,14752.00,-2198.00,-8735.00,390.00,-1.36
573.0,12544.00,-3624.00,13984.00,-3386.00,-18815.00,-819.00,-1.04
574.0,12544.00,-3968.00,12292.00,-4296.00,-21929.00,-979.00,-0.60
575.0,14168.00,-3624.00,9860.00,-4358.00,-15184.00,-1170.00,-0.60
576.0,16716.00,-3536.00,2944.00,-1148.00,-6700.00,-1014.00,-0.89
577.0,17344.00,-3476.00,3548.00,-540.00,-4074.00,-902.00,-1.01
578.0,16632.00,-3036.00,5944.00,2098.00,8596.00,326.00,-0.88
579.0,16848.00,-3488.00,5724.00,2058.00,9588.00,1541.00,-0.88
580.0,15836.00,-3652.00,8816.00,1439.00,15411.00,2075.00,-0.68
581.0,14828.00,-3380.00,8852.00,1380.00,13627.00,1900.00,-0.68
582.0,13912.00,-3336.00,12032.00,1850.00,15566.00,925.00,-0.85
583.0,13284.00,-3044.00,12668.00,626.00,10886.00,886.00,-0.69
584.0,11884.00,-3076.00,13584.00,-549.00,-730.00,1331.00,-0.88
585.0,11764.00,-2952.00,13552.00,-2213.00,-9315.00,-324.00,-0.94
586.0,12568.00,-3552.00,11708.00,-3149.00,-8172.00,68.00,-0.83
587.0,13964.00,-3804.00,11068.00,-3011.00,-15963.00,-1037.00,-0.78
588.0,15356.00,-3796.00,9132.00,-3656.00,-19709.00,-528.00,-1.15
589.0,16684.00,-3548.00,4696.00,-1827.00,-3720.00,-1068.00,-1.18
590.0,17240.00,-3684.00,4676.00,-1643.00,-3413.00,-1390.00,-1.16
591.0,16852.00,-3552.00,6584.00,3320.00,16315.00,-296.00,-1.15
592.0,16704.00,-3864.00,6464.00,2071.00,16023.00,619.00,-1.18
593.0,15984.00,-2716.00,10748.00,2096.00,14921.00,1619.00,-0.97
594.0,15172.00,-3128.00,10896.00,1288.00,14038.00,2313.00,-0.97
595.0,12516.00,-3236.00,11508.00,374.00,10671.00,1158.00,-0.89
596.0,12216.00,-2912.00,11836.00,-642.00,5616.00,1258.00,-0.92
597.0,13056.00,-2860.00,14168.00,-3412.00,-141.00,694.00,-0.58
598.0,13476.00,-3520.00,12268.00,-3545.00,-9170.00,-304.00,-0.95
599.0,13404.00,-3684.00,12196.00,-4469.00,-12203.00,-556.00,-0.95
600.0,14476.00,-3864.00,9812.00,-4243.00,-19976.00,-1976.00,-0.90
601.0,15080.00,-3552.00,7800.00,-7168.00,-32768.00,-3507.00,-1.22
602.0,15868.00,-2736.00,1696.00,-5990.00,-11623.00,672.00,-0.77
603.0,16688.00,-3820.00,648.00,-58.00,-552.00,1594.00,-0.86
604.0,17032.00,-3612.00,784.00,337.00,3258.00,1707.00,-0.86
605.0,17156.00,-3824.00,2956.00,3085.00,3632.00,569.00,-0.81
606.0,16464.00,-3660.00,3048.00,2355.00,1856.00,644.00,-0.81
607.0,16804.00,-3868.00,3840.00,3828.00,3579.00,-1377.00,-1.09
608.0,17140.00,-4084.00,5200.00,2918.00,1831.00,179.00,-1.09
609.0,18556.00,-3344.00,5184.00,1835.00,-4844.00,-2497.00,-1.26
610.0,17592.00,-2808.00,4308.00,1543.00,-1064.00,154.00,-1.21
611.0,16648.00,-3512.00,4384.00,852.00,-2256.00,-2036.00,-1.13
612.0,16964.00,-2700.00,2468.00,-667.00,-2210.00,-1289.00,-1.00
613.0,15620.00,-1204.00,1052.00,-1361.00,293.00,2481.00,-0.92
614.0,17308.00,-4924.00,6064.00,-2064.00,-7249.00,-951.00,-0.92
615.0,16492.00,-2392.00,1724.00,-2554.00,-3499.00,-2099.00,-0.90
616.0,16984.00,-2244.00,1452.00,-1349.00,119.00,-595.00,-0.81
617.0,16984.00,-2244.00,1448.00,-1369.00,210.00,-1279.00,-0.81
618.0,18168.00,-1656.00,20.00,620.00,-107.00,-2773.00,-0.96
619.0,16400.00,-1604.00,1920.00,3175.00,-699.00,-5477.00,-0.99
620.0,17172.00,-824.00,1052.00,2548.00,-164.00,-6361.00,-1.01
621.0,16520.00,-612.00,1288.00,-1200.00,-801.00,114.00,-0.99
622.0,17004.00,404.00,860.00,-719.00,148.00,139.00,-0.75
623.0,17484.00,-404.00,1476.00,-854.00,88.00,179.00,-1.08
624.0,17604.00,-284.00,1640.00,-702.00,-46.00,53.00,-1.05
625.0,17652.00,-660.00,1044.00,-939.00,60.00,169.00,-0.97
626.0,17348.00,-380.00,1404.00,-855.00,-59.00,86.00,-0.80
627.0,17596.00,-44.00,1884.00,-560.00,-40.00,83.00,-1.03
628.0,17604.00,-148.00,1620.00,-758.00,13.00,144.00,-1.03
629.0,17332.00,-616.00,1284.00,-856.00,-2.00,118.00,-1.05
630.0,17460.00,-544.00,1608.00,-868.00,-27.00,95.00,-0.90
631.0,17632.00,16.00,1484.00,-796.00,-5.00,99.00,-1.08
632.0,17512.00,-252.00,1528.00,-866.00,-26.00,123.00,-1.36
633.0,17416.00,-536.00,1424.00,-820.00,-24.00,118.00,-1.46
634.0,17676.00,-484.00,1244.00,-896.00,16.00,116.00,-1.41
635.0,17592.00,-100.00,1456.00,-872.00,0.00,120.00,-1.41
636.0,17644.00,-368.00,1408.00,-849.00,-3.00,113.00,-1.33
637.0,17604.00,-264.00,1552.00,-848.00,3.00,112.00,-1.23
638.0,17432.00,-348.00,1292.00,-881.00,28.00,107.00,-1.31
639.0,17432.00,-468.00,1444.00,-881.00,-18.00,145.00,-1.24
640.0,17468.00,-200.00,1500.00,-862.00,-5.00,116.00,-1.19
641.0,17472.00,-388.00,1536.00,-860.00,-11.00,123.00,-1.19
642.0,17464.00,-440.00,1540.00,-846.00,-17.00,104.00,-1.10
643.0,17560.00,-260.00,1248.00,-757.00,-3.00,116.00,-1.29
644.0,17596.00,-364.00,1644.00,-769.00,-31.00,109.00,-1.04
645.0,17644.00,-304.00,1476.00,-766.00,-9.00,132.00,-1.07
646.0,17420.00,-380.00,1472.00,-819.00,25.00,95.00,-1.17
647.0,17504.00,-280.00,1584.00,-824.00,0.00,118.00,-1.06
648.0,17436.00,-396.00,1476.00,-863.00,13.00,120.00,-1.06
649.0,17532.00,-392.00,1492.00,-828.00,-18.00,103.00,-0.95
650.0,17496.00,-304.00,1512.00,-855.00,26.00,135.00,-1.12
651.0,17608.00,-384.00,1536.00,-817.00,-12.00,106.00,-0.90
652.0,17520.00,-248.00,1392.00,-789.00,-61.00,134.00,-1.03
653.0,17620.00,-388.00,1360.00,-849.00,-9.00,121.00,-0.78
654.0,17528.00,-320.00,1592.00,-823.00,1.00,104.00,-0.78
655.0,17560.00,-292.00,1360.00,-841.00,9.00,115.00,-1.03
656.0,17400.00,-264.00,1552.00,-794.00,-27.00,94.00,-1.08
657.0,17544.00,-264.00,1520.00,-902.00,17.00,145.00,-1.09
658.0,17560.00,-436.00,1604.00,-860.00,-11.00,137.00,-1.15
659.0,17532.00,-376.00,1376.00,-899.00,29.00,123.00,-1.15
